AMP-3096	[Bank Portal][Rule Engine] Application Score incorrect
AMP-3101	Missing E2E and Credit Analysis reports include 7 variable scores and Final Application Score
AMP-3103	[DP > Strategies] UAE National is displaying in application value when application is created with expat eid.
AMP-3104	[Arab bank v3 > Employment type] Criteria is failing because bank setup value is "Employed" and application value is "Salaried".
AMP-3107	[Prypco > Add back incomes] Add back incomes are used in calculation of offers.
AMP-3114	Can not edit attribute- Strategies
AMP-3118	[Arab bank v3] AIP letter received in email is not password protected.
AMP-3124	[BankPortal-PT] Broken Object Level Authorization – User Without Termination Queue Department Access Can Retrieve Application PII via Direct API Call
AMP-3129	TML FLAG not display value on RE
AMP-3132	ML- File upload 10MB-> But still display validate maximum file
AMP-3133	Report skip application ID
AMP-3136	Value combine don't display 
AMP-3147	Income mutipler breakdown is missing 2 values — unlabeled header row and "Decision Boundary Deviation" — when calculating Approved Limit Amount without Income Multiplier
AMP-3149	Income multiple missing decision status, final decision from , redundant boundary
AMP-3154	CJ | Terms and Conditions is currently disabled for Appro channel 
AMP-3155	Refinancing Page does not show consent updated on Collateral management 
AMP-3156	Can not complete Co borrower flow
AMP-3157	User Management | move Add User button to the top, make it align with other tabs
AMP-3158	User Management | Deactivate/Activate an account needs confirmation popup, and toast message
AMP-3160	User Management | Be able to input mobile not in UAE
AMP-3162	[CJ > File upload] User is able to upload exe and all other file types. 
AMP-3163	[CJ > Upload] User is able to upload file of 11 mb in size.
AMP-3164	Role Mgmt | Cannot delete the Role
AMP-3166	User without "View Conditional Offer" permission for Mortgage Loan can still view Conditional Offer
AMP-3170	[CJ > Offer detail screen] An error message is displayed on CJ, when user open the offer detail screen.
AMP-3171	Aplication is still Rejected even after Conditional Offer Approval Method Turn on
AMP-3172	Incorrect step order in audit trail
AMP-3173	ARAB -Summary application co borrower still MISSING DATA
AMP-3183	Co borrower change REJECT -> AWAITING CUSTOMER AFTER APPROVE PRIMARY FROM CREDIT QUEUE
AMP-3188	Add Time range
AMP-3189	[CJ > Co borrower] Offer is not coming for co borrower 
AMP-3193	[AdminPortal-PT] Hardcoded Cryptographic Keys Exposed in Publicly Accessible config.js
AMP-3197	[Strategies] 'Number of Active Contracts' has none of its 4 sub-attributes, and duplicates an older attribute that has them
AMP-3198	[Strategies] AC1 #9 attribute 'Overdue amount in current month' does not exist under that name
AMP-3200	[Strategies] Deviation is missing
AMP-3201	[Strategies] 'Number of Active Contracts' missing children field
AMP-3202	Application sources missing value
AMP-3208	Status on CJ and bank portal not sync-> can not complete FLOW
AMP-3215	[BankPortal - PT] Broken Access Control – Direct URL Access to Maker/Checker Queue Bypasses Missing Menu Permission
AMP-3216	Manual queue report- app in queue but on report column display NULL
AMP-3218	Funnel | Offer Stage does not match
AMP-3220	Co- borrower- After remove co borrower-> click settle -> display issue
AMP-3225	Decision boundary display incorrect
AMP-3242	DC Report Bug
AMP-3256	ARAB BANK- Strategy not yet create but fail reason show manual :ON
AMP-3260	[DP > Action queue] Application with score above 50 is displaying as ineligible.
AMP-3264	ARAB BANK- (C) Proposed Limit Amount FOR PL incorrect
AMP-3265	Arab bank- PL-Missing follow EMI with fix type
AMP-3266	[DC > Action queue] Verify got failed when application is in watchlist state.
AMP-3272	ARB-auto loann- Match offer incorrect with Car condition
AMP-3273	Arab bank- auto loan still in progress
AMP-3274	Header is not aligned
AMP-3275	No error message highlighted when click on Save button
AMP-3278	ARAB Bank-auto loan-Missing formula finalize interest rate
AMP-3279	Arab bank-auto loan- loan tenor incorrect
AMP-3280	Base URL needs to be non editable in Edit/Create mode
AMP-3281	Start/End Date cannot be past date
AMP-3301	[DC > Action queue] 500 internal server error when user sort by "Modified date"
